test,arch,platform,passed,status,extra_args,qemu,qemu_time,ram_size,rom_size
tests/kernel/test_fifo_priv/test,x86,arduino_101,True,,,False,,12576,24016
tests/kernel/test_timer/nanokernel/test,x86,quark_se_devboard,True,,,False,,9380,17158
tests/bluetooth/init/test_13,x86,galileo,True,,CONF_FILE=prj_13.conf,False,,87245,74493
tests/kernel/test_mutex/test,x86,galileo,True,,,False,,49544,37904
tests/bluetooth/init/test_16,arm,frdm_k64f,True,,CONF_FILE=prj_16.conf,False,,13292,35338
tests/bluetooth/init/test_19,arm,olimexino_stm32,True,,CONF_FILE=prj_19.conf,False,,14832,39324
tests/bluetooth/init/test_micro,x86,quark_se_devboard,True,,,False,,14140,32315
tests/benchmark/footprint/nanokernel/footprint-max,arc,quark_se_sss_devboard,True,,TEST=max,False,,5288,9724
tests/kernel/test_fifo_priv/test,arm,stm32_mini_a15,True,,,False,,10812,17380
samples/drivers/gpio/test,x86,arduino_101,True,,,False,,5388,15969
tests/bluetooth/init/test_nano,arm,olimexino_stm32,True,,KERNEL_TYPE=nano,False,,7164,20320
tests/kernel/test_obj_tracing/microkernel/test,arm,stm32_mini_a15,True,,,False,,14408,15104
samples/philosophers/nanokernel/test,x86,quark_d2000_crb,True,,,False,,7240,6080
samples/drivers/gpio/test,arm,arduino_due,True,,,False,,3424,7176
tests/kernel/test_context/test,x86,minnowboard,True,,,False,,19536,13972
tests/bluetooth/init/test_6,arm,olimexino_stm32,True,,CONF_FILE=prj_6.conf,False,,13928,43844
tests/kernel/test_xip/nanokernel/test,x86,galileo,True,,,False,,7400,27458
tests/kernel/test_pipe_priv/test,x86,arduino_101,True,,,False,,16744,33432
